,0
/global/scratch/akashgokul/mined_scannet_chairs/scene0299_00/2/model.obj,49a3b0242c13f92da6fee8e2140acec9
/global/scratch/akashgokul/mined_scannet_chairs/scene0299_00/5/model.obj,9368cd9028151e1e9d51a07a5989d077
/global/scratch/akashgokul/mined_scannet_chairs/scene0369_00/4/model.obj,2b5953c986dd08f2f91663a74ccd2338
/global/scratch/akashgokul/mined_scannet_chairs/scene0369_00/3/model.obj,2b5953c986dd08f2f91663a74ccd2338
/global/scratch/akashgokul/mined_scannet_chairs/scene0369_00/5/model.obj,9368cd9028151e1e9d51a07a5989d077
/global/scratch/akashgokul/mined_scannet_chairs/scene0272_00/4/model.obj,5e685e076287215be8f8c11a24c52ebb
/global/scratch/akashgokul/mined_scannet_chairs/scene0272_00/3/model.obj,5cf26a5558580c8c75a82b88fe6e733f
/global/scratch/akashgokul/mined_scannet_chairs/scene0272_00/2/model.obj,aa88b0f05470452f7ea323bc74055b8
/global/scratch/akashgokul/mined_scannet_chairs/scene0663_00/13/model.obj,c93860b7f38bf628bda72093f9b5aa73
/global/scratch/akashgokul/mined_scannet_chairs/scene0663_00/6/model.obj,9368cd9028151e1e9d51a07a5989d077
/global/scratch/akashgokul/mined_scannet_chairs/scene0663_00/5/model.obj,9368cd9028151e1e9d51a07a5989d077
/global/scratch/akashgokul/mined_scannet_chairs/scene0672_00/3/model.obj,fb22d2e3174ed0519fb4103277a6b93
/global/scratch/akashgokul/mined_scannet_chairs/scene0672_00/0/model.obj,53675c4bbb33fe72bcc0c5df96f9b28e
/global/scratch/akashgokul/mined_scannet_chairs/scene0180_00/11/model.obj,7121296a75c725aee8f8c11a24c52ebb
/global/scratch/akashgokul/mined_scannet_chairs/scene0180_00/4/model.obj,7121296a75c725aee8f8c11a24c52ebb
/global/scratch/akashgokul/mined_scannet_chairs/scene0180_00/3/model.obj,7121296a75c725aee8f8c11a24c52ebb
/global/scratch/akashgokul/mined_scannet_chairs/scene0180_00/13/model.obj,7121296a75c725aee8f8c11a24c52ebb
/global/scratch/akashgokul/mined_scannet_chairs/scene0180_00/12/model.obj,7121296a75c725aee8f8c11a24c52ebb
